darkness,rainy,throttle_position,average_speed,std_speed,relative_distance,relative_speed,relative_acc,time_of_max_a_to_conflict,max_a_before_conflict,quasi_time_head_way,normal_acc,normal_dec,Brake Duration,prediction,probability
0,0,0,0.0,0.0,0.0093896708257719,0.0333333333333333,0.4615384615384616,0.1111111111111111,0.6098901098901099,0.0408074742771581,0.1763316120226183,0.985312285518188,1,1,0.686988820769573
0,0,0,0.2936412705944387,0.0119925776982989,0.0318205511317825,0.1333333333333333,0.5,0.1111111111111111,0.2912087912087912,0.0026775647111694,0.1763316120226183,0.4704644246167925,1,1,0.6850368094070198
0,0,0,0.0,0.0,0.0148020504805724,0.1531294365852632,0.5,0.0,0.6350355015413531,0.0408074742771581,0.2575462628982533,0.8274249774581086,1,1,0.5778701229804997
0,0,0,0.0113613501886574,0.0,0.0362545623550637,0.5333333333333333,0.5384615384615385,0.1111111111111111,0.6510989010989011,0.0717012618070798,0.1708169181595183,0.7750249696274032,0,0,0.2096211685532169
0,1,0,0.0062714740209409,0.0009195448658627,0.0226917044956154,0.1999999999999999,0.5,0.2222222222222222,0.4802027869038178,0.1163978397482887,0.1763316120226183,0.7757950125829329,0,0,0.2800219171496831
0,0,0,0.023395327301339,0.0026624785708358,0.0174752207035199,0.1999999999999999,0.5,0.0,0.5714285714285715,0.0208645721567804,0.1763316120226183,0.9231754747197438,0,1,0.6566381138584898
0,0,0,0.0352798607674632,0.0023398733957132,0.019921744497657,0.1666666666666666,0.468039769821591,0.0,0.5634190027683535,0.0178127357897558,0.1763316120226183,0.9102355593568988,1,1,0.6465380119507519
0,0,1,0.0162240299792024,0.007520610826608,0.0226917044956154,0.2666666666666666,0.4768197583614587,0.0,0.7747252747252747,0.0280439213976801,0.4087564112093957,0.7750249696274032,0,0,0.02377117793300631
0,0,0,0.1232833529311997,0.0124568463182294,0.0235522327091942,0.1046715642726547,0.4615384615384616,0.3849959186616766,0.3053300739785155,0.0067618726921831,0.1270878232268484,0.4932781629848284,1,1,0.6523195357682356
0,0,1,0.0621148514644664,0.0008288341614478,0.0310380785629682,0.3,0.5,0.2222222222222222,0.5896687719496998,0.0141183918019034,0.1763316120226183,0.9526435598261268,0,0,0.09978057216631034
0,0,1,0.0,0.0,0.0242566496332441,0.3666666666666666,0.5384615384615385,0.0,0.6251645519429024,0.0408074742771581,0.0162276072251542,0.9950562800274536,0,0,0.17011370745688004
0,0,0,0.0,0.0,0.0146061546178674,0.0333333333333333,0.4768197583614587,0.1111111111111111,0.7252747252747253,0.0408074742771581,0.2789712331821898,0.7750249696274032,0,0,0.20548818369642755
1,0,1,0.0229045065601444,0.0508308406387825,0.1504955737034672,0.2333333333333333,0.4615384615384616,0.0,0.5552565990710321,0.1144687828287785,0.0743328625585371,0.8970487302676733,0,0,0.07954737755856892
0,0,0,0.0603860195880908,0.0084366063168827,0.0119720235991376,0.0,0.4768197583614587,0.0973088925857711,0.304245384066946,0.0083679889492784,0.1763316120226183,0.4915257845177639,1,1,0.7263263005325462
0,0,0,0.0027539989973518,0.0087755906735297,0.0156494513762865,0.1333333333333333,0.5384615384615385,0.0,0.6181318681318682,0.0408074742771581,0.1763316120226183,0.9305727141005108,0,1,0.6346838397912505
0,1,1,0.2420679481982051,0.3584671399716836,0.091549298702032,0.1666666666666666,0.4615384615384616,0.0,0.3839073297836185,0.0256600970409395,0.1763316120226183,0.6202242049874171,0,0,0.031982809055429134
0,0,1,0.0,0.0,0.026604067339687,0.3,0.5,0.2222222222222222,0.7280219780219781,0.0408074742771581,0.2861815208503679,0.7750249696274032,0,0,0.08455342902342726
0,0,0,0.0572612614922519,0.0,0.0292123092357348,0.2666666666666666,0.4615384615384616,0.1111111111111111,0.6428571428571429,0.0145781173229989,0.0626626031368468,0.7750249696274032,0,0,0.15647411347699386
1,1,0,0.0231662756588712,0.0006255856708485,0.0166927481347056,0.0,0.4615384615384616,0.0,0.6189815339299876,0.0232722116856061,0.0,1.0,0,1,0.6785002294914876
0,0,0,0.0,0.0,0.0140845062386578,0.1999999999999999,0.4615384615384616,0.0,0.6098901098901099,0.0408074742771581,0.1763316120226183,0.985312285518188,1,1,0.6910227041726357
0,0,0,0.0205190553786438,0.0007035115955171,0.0168597163470451,0.1999999999999999,0.528223225895581,0.1518779929602836,0.694515827255278,0.030123351596426,0.2605976185741451,0.7750249696274032,1,0,0.28980414393716636
0,0,0,0.1610405223021392,0.0034623971049936,0.0380803316822972,0.3,0.4615384615384616,0.1111111111111111,0.5384615384615385,0.0059471336906991,0.1763316120226183,0.8432852894074583,0,0,0.30584149160793
0,0,0,0.0,0.0,0.0156494513762865,0.0,0.4768197583614587,0.3333333333333333,0.6868131868131868,0.0408074742771581,0.1780272058276964,0.7750249696274032,0,1,0.5486642833044296
0,0,0,0.0066259474871771,0.0106339760279909,0.0242566496332441,0.2666666666666666,0.5,0.2222222222222222,0.5082417582417582,0.0408074742771581,0.1763316120226183,0.8210935712651567,1,1,0.7435484261946116
0,1,0,0.0344113036583093,0.1096512800978643,0.2376108530314621,0.0666666666666666,0.3461538461538462,0.5555555555555556,0.5637532570522261,0.0408074742771581,0.1763316120226183,0.9107755662319836,0,1,0.8331994190024791
0,0,0,0.1004526327063659,0.0114641549003553,0.0229525286852202,0.2666666666666666,0.4615384615384616,0.1111111111111111,0.3763736263736263,0.0076781557933152,0.1763316120226183,0.608053077099062,0,1,0.6960193709008737
0,0,0,0.1020332285467752,0.0119095702321853,0.0364821726920171,0.0465553258781187,0.4675999373185112,0.3562978274792084,0.2820149548859972,0.0068406125439178,0.1763316120226183,0.4556112572461584,1,1,0.7122291641892058
0,0,1,0.3294698279119535,0.5679157214315856,0.2446858751869202,0.114786042375661,0.4302104965221818,1.0,0.4883910029809872,0.0370706946007905,0.1763316120226183,0.7890235430451932,1,1,0.8012103826933702
1,0,0,0.0,0.0,0.0339071446486207,0.4666666666666667,0.4652519893899205,0.0,0.6458876175371021,0.0408074742771581,0.0706162194306102,0.7750249696274032,0,0,0.09904702496693234
0,0,1,0.0,0.0,0.0177360448931247,0.1333333333333333,0.4615384615384616,0.2222222222222222,0.4258241758241758,0.0408074742771581,0.1763316120226183,0.6879432624113475,0,1,0.5531790614968296
